id,35S,BS,BS_35S,log2_BS_35S
AT1G03850,0.173721,0.0531975,0.306223,-1.707345449
AT4G14390,0.0567981,0.0172488,0.303686,-1.719347693
AT4G23290,1.22017,0.36981,0.303079,-1.722234202
AT3G26290,0.956103,0.28021,0.293075,-1.770658187
AT3G21500,0.0389932,0.0114277,0.29307,-1.7706828
AT2G17740,0.0581982,0.0170484,0.292937,-1.771337668
AT5G02230,0.807886,0.236258,0.292439,-1.773792371
AT3G18950,0.213381,0.0619981,0.290551,-1.783136675
AT2G45220,0.389786,0.112975,0.289839,-1.786676362
AT1G76955,0.216079,0.0624983,0.289239,-1.789666001
AT5G19240,4.98042,1.4397,0.289072,-1.790499221
AT2G17300,0.209685,0.0602984,0.287566,-1.798034984
AT1G65486,0.264577,0.0746964,0.282324,-1.824576319
AT3G56290,3.40672,0.950759,0.279083,-1.841233848
AT4G12320,1.63076,0.444323,0.272463,-1.875867767
AT3G17609,0.556591,0.151643,0.272449,-1.875941899
AT3G57020,0.761344,0.206438,0.27115,-1.882836925
AT5G08760,1.00165,0.27092,0.270474,-1.886438177
AT4G20820,0.117022,0.0311856,0.266493,-1.907830457
AT1G54010,0.167128,0.043995,0.263242,-1.925538407
AT1G62370,0.0455962,0.0118289,0.259427,-1.946599458
AT4G10500,0.663363,0.171424,0.258416,-1.952232697
